央视,#genre#
CGTN俄语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/eyu/1000/index.m3u8?msisdn=202608242000580ebaf3716c0e4795b76caabee1677d31&mdspid=&spid=699004&netType=0&sid=2200179332&pid=2028597139&timestamp=20260824200058&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=609006446&ParentNodeID=-99&assertID=2200179332&client_ip=182.136.94.49&SecurityKey=20260824200058&promotionId=&mvid=2200179332&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=4c55fb69115cbd9579a8f5a3b58476bc&ddCalcu=c4bcv65a75y4fa8b56b931a155fc8bad9975&sv=10004&ct=android
老故事,http://gslbmgsplive.miguvideo.com/migu/kailu/cctvlaogushi/50/20231109/index.m3u8?msisdn=20260824200058080b50fcff9c4caab4fa6af4a1317f47&mdspid=&spid=699004&netType=0&sid=5910022002&pid=2028597139&timestamp=20260824200058&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=884121956&ParentNodeID=-99&assertID=5910022002&client_ip=182.136.94.49&SecurityKey=20260824200058&promotionId=&mvid=5900006372&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=a1f44d29376e08e145383b2b02cf0dba&ddCalcu=aab1vdfa04lf4acd2209b327b63e80385e41&sv=10004&ct=android
发现之旅,http://gslbmgsplive.miguvideo.com/wd_r3/cnr/faxianzhilv/1000/index.m3u8?msisdn=20260824200058b3019d366d234c3c8695dd3541531592&mdspid=&spid=699004&netType=0&sid=5500212893&pid=2028597139&timestamp=20260824200058&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=624878970&ParentNodeID=-99&assertID=5500212893&client_ip=182.136.94.49&SecurityKey=20260824200058&promotionId=&mvid=5100001701&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=2c7e97bf06450337f670177779765aa8&ddCalcu=82acva7a5el69a779b7f70767415007363f7&sv=10004&ct=android
中学生,http://gslbmgsplive.miguvideo.com/migu/kailu/20210415/cctvzhongxuesheng/50/index.m3u8?msisdn=2026082420005997354c7d4e5d49d9b52f8c821a8857c5&mdspid=&spid=699004&netType=0&sid=5910019355&pid=2028597139&timestamp=20260824200059&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=708869532&ParentNodeID=-99&assertID=5910019355&client_ip=182.136.94.49&SecurityKey=20260824200059&promotionId=&mvid=5900002149&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=8f4039af2c42662e2c0f959c1856a564&ddCalcu=486fv54aa0z63a598a1fc29c5492f606c22e&sv=10004&ct=android
CGTN,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/cctvnews/1000/index.m3u8?msisdn=202608242000592eb9c84bc23c41ef8d16830d829507ab&mdspid=&spid=699004&netType=0&sid=2202196407&pid=2028597139&timestamp=20260824200059&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=609017205&ParentNodeID=-99&assertID=2202196407&client_ip=182.136.94.49&SecurityKey=20260824200059&promotionId=&mvid=2202196407&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=b3d204813c0277fad9fa3aa241379a56&ddCalcu=6b53vada92a70a34184123aca032a7f79fda&sv=10004&ct=android

卫视,#genre#
江苏卫视,http://gslbmgsplive.miguvideo.com/migu/kailu/jswshd265/53/20210617/index.m3u8?msisdn=20260824200059adebaa0adeaf4d3e856fa215d8618cb1&mdspid=&spid=699067&netType=0&sid=5500199408&pid=2028597139&timestamp=20260824200059&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=623899368&ParentNodeID=-99&assertID=5500199408&client_ip=182.136.94.49&SecurityKey=20260824200059&promotionId=&mvid=5100156802&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=f2c421498b4e51ef9441758fb8a9228e&ddCalcu=ef82v2ca24b92aa184b9f88b547e15414e9f&sv=10004&ct=android
广东卫视,http://gslbmgsplive.miguvideo.com/migu/kailu/gdwshd265/53/20210617/index.m3u8?msisdn=202608242000597796e8f005b9418ca6083279529f02c2&mdspid=&spid=699054&netType=0&sid=2202428795&pid=2028597139&timestamp=20260824200059&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=608831231&ParentNodeID=-99&assertID=2202428795&client_ip=182.136.94.49&SecurityKey=20260824200059&promotionId=&mvid=2202428795&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=db2a677f8be6430f44d794afb8f74a96&ddCalcu=6d9bva2a4aa76af787bff8ab4e9674d3404f&sv=10004&ct=android
北京卫视,http://gslbmgsplive.miguvideo.com/migu/kailu/bjws/50/20251127/index.m3u8?msisdn=20260824200100e55a7766d96f47b9a77a4eceeb25376c&mdspid=&spid=600697&netType=0&sid=5910022306&pid=2028597139&timestamp=20260824200100&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=630287636&ParentNodeID=-99&assertID=5910022306&client_ip=182.136.94.49&SecurityKey=20260824200100&promotionId=&mvid=5101042960&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=0a75cb9568bedb65566c993b93d85b9c&ddCalcu=c09avb7a55w8cadb3995b6389b9ecd6b6655&sv=10004&ct=android
